Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Manufacturer Part
12V,1,12V Input,PinSocket_1x02_P2.54mm_Vertical,,,,tht,Pin Header female with pin space 2.54mm. Pin Count -2,
C1,1,100 nF,C_Disc_D3.0mm_W1.6mm_P2.50mm,,,,tht,Unpolarized capacitor,
C2,1,330 nF,C_Disc_D3.0mm_W1.6mm_P2.50mm,,,,tht,Unpolarized capacitor,
CAM,1,Cam Output,PinSocket_1x02_P2.54mm_Vertical,,,,tht,Pin Header female with pin space 2.54mm. Pin Count -2,
"CAM1, PWR2, WIFI2",3,LED,LED_D5.0mm,,,,tht,Common 5mm diameter LED,
Q1,1,2N3904,TO-92_Inline_Wide,,,,tht,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",
R10,1,Rb,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,,,tht,Resistor,
R11,1,1000,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,,,tht,Resistor,
"R5, R8",2,330,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,,,tht,Resistor,
R6,1,LDR07,R_LDR_5.1x4.3mm_P3.4mm_Vertical,,,,tht,light dependent resistor,
R7,1,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,,,tht,Resistor,
R9,1,Rc,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,,,tht,Resistor,
TP1,1,SCL,TestPoint_Pad_D1.0mm,,,,tht,test point,
TP2,1,SDA,TestPoint_Pad_D1.0mm,,,,tht,test point,
TP3,1,RX,TestPoint_Pad_D1.0mm,,,,tht,test point,
TP4,1,TX,TestPoint_Pad_D1.0mm,,,,tht,test point,
TP5,1,CAM+,TestPoint_Pad_D1.0mm,,,,tht,test point,
TP6,1,USB+,TestPoint_Pad_D1.0mm,,,,tht,test point,
U2,1,T-QT Pro,LilyGO TQ-T Pro,,,,tht,,
U5,1,ENS160+AHT21,ENS160+AHT21,,,,tht,,ENS160-AHT21 Air sensor
U6,1,C1001,DFRobot SEN0623 C1001 mmWave Human Detection Sensor,,,,tht,,
U7,1,L7805,TO-220-3_Horizontal_TabDown,,,,tht,"Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252",
USB,1,USB_C Output,PinSocket_1x02_P2.54mm_Vertical,,,,tht,Pin Header female with pin space 2.54mm. Pin Count -2,
