pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
137.2,-99.06,0.0,top,C1,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,100 nF,tht
146.09,-99.06,0.0,top,C2,,,C_Disc_D3.0mm_W1.6mm_P2.50mm,330 nF,tht
151.13,-127.0,-90.0,top,CAM1,,,LED_D5.0mm,LED,tht
152.4,-118.11,0.0,top,J1,,,PinSocket_1x02_P2.54mm_Vertical,12V Input,tht
148.59,-105.41,0.0,top,J2,,,PinSocket_1x02_P2.54mm_Vertical,Cam Output,tht
138.43,-105.41,0.0,top,J3,,,PinSocket_1x02_P2.54mm_Vertical,USB_C Output,tht
130.81,-127.0,-90.0,top,PWR2,,,LED_D5.0mm,LED,tht
130.81,-107.95,90.0,top,Q1,,,TO-92_Inline_Wide,2N3904,tht
144.78,-87.02,0.0,top,R10,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,Rb,tht
144.78,-92.71,0.0,top,R11,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1000,tht
135.89,-81.28,0.0,top,R5,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,330,tht
154.94,-85.09,90.0,top,R6,,,R_LDR_5.1x4.3mm_P3.4mm_Vertical,LDR07,tht
135.89,-87.02,0.0,top,R7,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,10k,tht
135.89,-92.71,0.0,top,R8,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,330,tht
144.78,-81.28,0.0,top,R9,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,Rc,tht
116.332,-116.967,0.0,top,U2,,,LilyGO TQ-T Pro,T-QT Pro,tht
127.8255,-89.154,90.0,top,U5,,,ENS160+AHT21,ENS160+AHT21,tht
128.12,-115.57,-90.0,top,U7,,,TO-220-3_Horizontal_TabDown,L7805,tht
140.97,-127.0,-90.0,top,WIFI2,,,LED_D5.0mm,LED,tht
